id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length,egocentric,charades_video
2JL6EEGO,ROBJ,Living room,6,7,Yes,"A person sits on a chair drinking coffee, when they start laughing at something another person said.",chair;cup/glass/bottle,A person is sitting on a chair and drinking some thing in a cup while another person is speaking to the person.,c149 4.50 30.92;c107 0.00 30.92;c152 4.30 30.92;c106 0.00 15.10;c059 0.00 30.92,31.62,Yes,VG94P
QEQH6EGO,RLWG,Kitchen,4,6,Yes,A person is putting food in the cabinet and then sneezing in front of the window in the kitchen.,cup/glass/bottle;dish;food;plate;shelf;table;window,A person is taking food from a dishware from a table and putting it on a shelf. The person sneezes four times.,c109 5.00 10.60;c153 12.40 19.50;c120 0.70 17.00;c118 0.00 6.70;c092 17.10 27.70;c119 7.70 13.10;c081 0.00 20.50;c062 0.00 17.20;c061 0.00 7.20;c061 4.30 13.00,31.29,Yes,13YII
BY1WIEGO,UN1T,Kitchen,7,7,Yes,A person is taking medicine while sneezing on a book.,book;cup/glass/bottle;medicine;table,"This person is standing in what appears to be a kitchen, shaking a bottle, consuming medicine and then picks up a book and looks at it while sneezing",c026 23.30 30.62;c009 21.30 25.80;c153 24.10 30.62;c032 22.10 30.62;c129 12.90 22.40;c110 0.00 3.60;c128 0.00 25.80;c030 22.80 27.90,32.38,Yes,3Z7KH
DWW70EGO,X5EU,Bathroom,6,6,Yes,"A person grasping a bag of groceries walks into closet.  They lift a blanket off a vacuum cleaner, and leave it on the floor, taking the vacuum cleaner in the hand they're not using to carry the groceries with.  Twirling the bag of groceries playfully, they walk out of the closet.",bathtub;blanket;clothes;door;floor;medicine;shoe;vacuum,"The person in the video walked into the bathroom, past the counter, and threw a pair of shoes into the bathtub. The person then grabbed a prescription pill bottle from the counter",c054 4.40 9.40;c128 7.90 12.90;c008 1.20 8.90;c137 2.10 11.50;c097 7.80 13.21;c003 1.90 10.80;c073 2.00 11.50;c126 3.90 9.20,13.21,Yes,PM6U2
ZIG43EGO,3L0S,Home Office / Study (A room in a house used for work),7,7,Yes,A person sits at a desk in their study while grasping a pillow.  They drop the pillow on the ground and watch it as they leave the room.,chair;pillow;table,"a person grabs a pillow, sits down in a chair, drops the pillow, then stands up and walks away.",c076 9.40 21.40;c154 18.10 24.30;c080 16.80 21.80;c078 9.50 21.10;c011 8.00 22.20;c077 16.60 22.70;c059 8.00 21.80;c079 6.20 12.90;c151 4.60 12.10,31.54,Yes,0S9KN
9996LEGO,F116,Basement (A room below the ground floor),5,6,Yes,One person drinks coffee as another person runs in and starts tidying up a messy wardrobe.,chair;closet/cabinet;coffee;food;glass;wardrobe,A person sits on a chair drinking coffee while another person opens a wardrobe and tidys up.,c156 0.00 2.80;c114 0.00 4.00;c059 0.00 4.20;c113 0.00 4.00;c150 0.10 4.70;c107 1.10 6.20;c106 1.40 6.30;c156 1.40 8.40;c114 3.80 11.70;c059 2.50 10.00;c113 2.00 9.90;c150 3.50 11.10,19.79,Yes,4T97L
CA90SEGO,T7C3,Stairs,6,6,Yes,A person is sitting on some stairs snuggling a pillow to their chest. They start to sneeze and stand up taking the pillow with them. They walk down the stairs and throw the pillow on the floor and close a laptop sitting on the floor at the bottom of the stairs. Then walk out a doorway and leave the room.,doorway;floor;laptop;pillow,"person is sitting in stairs snuggling with a pillow, stand an sneezes, throw the pillow and close a laptop that is in the floor",c153 6.20 16.40;c078 0.00 6.20;c046 15.90 19.00;c080 10.10 15.40;c126 10.40 15.20;c047 13.30 19.00;c097 18.40 19.00;c125 0.00 10.50;c076 0.00 14.70;c097 19.50 19.00;c154 2.60 8.90;c153 11.10 16.10;c078 13.00 18.10;c046 18.40 19.00;c080 14.20 19.00,24.71,Yes,
7F7Y6EGO,YW2Y,Bedroom,7,7,Yes,A person is holding a laptop. The person puts the laptop down on a table and runs out of the garage.,door;floor;laptop;table,"A person is sitting cross legged on the floor typing on a laptop computer.  The top of another person's head come into the frame from the left for about a second.  The person sitting on the floor jumps up, places the laptop on the table and runs from the room.",c050 27.10 32.00;c150 33.50 37.90;c097 30.20 41.10;c008 32.90 40.70;c141 31.20 40.70;c046 24.10 30.70;c049 31.60 37.30;c047 27.60 35.60;c052 0.00 29.30;c125 0.00 32.40;c154 28.40 33.40;c009 31.40 38.90;c050 28.40 42.80;c051 0.00 30.30;c154 28.80 38.70;c009 33.90 42.80;c050 10.60 42.80;c150 31.60 42.80;c051 32.00 42.80;c154 32.20 42.80,40.75,Yes,TON6G
2HJU8EGO,BYF9,Kitchen,6,6,Yes,A person uses a stove to cook and then puts some groceries away.,bag;box;container;food;groceries;stove,"person is cooking on the stove, then put some groceries inside a container that is on the shelf",c062 11.60 29.90;c130 11.50 30.50;c147 0.00 14.00;c061 4.20 22.20;c020 0.00 4.80;c044 16.80 26.20;c042 18.00 27.10;c040 17.00 24.70;c063 7.20 26.30,29.62,Yes,D9YWY
GDQAWEGO,0AC0,Bathroom,7,6,Yes,A person is undressing in a bathroom before they wash their face in the sink. The person grabs a glass off the counter and fills it with water before they turn off the light and leave the bathroom.,clothes;doorway;glass;hands;light;mirror;sink;water,"perosn is standing in front of a mirror, take out the clothes, open the sink clean its face and pours water into a glass,turn off the light then leaves the room",c105 26.30 25.42;c139 7.70 14.30;c110 14.70 21.50;c003 0.50 6.10;c155 0.00 5.00;c001 0.20 6.10;c108 19.20 25.42;c097 1.50 6.70;c096 0.70 5.50;c106 0.00 4.70;c107 0.00 3.90;c097 26.10 25.42;c096 7.10 18.20;c106 26.60 25.42;c107 20.30 25.42,31.42,Yes,
ATZOCEGO,U259,Laundry room,5,5,No,A person sneezes while placing a pillow into the washing machine. Next the person walks away with some homework.,bag;clothes;doorknob;doorway;paper/notebook;pillow;vase,a person holds their nose while putting a pillow in a washing bin then picks up a vase and walks away.,c022 1.10 7.00;c077 3.10 8.70;c005 2.10 7.60;c117 2.30 9.60;c115 5.30 9.83;c141 2.40 8.70;c076 1.00 8.90;c097 4.40 9.83,10.92,Yes,AMX7S
1EMWDEGO,DN1S,Bedroom,6,6,Yes,A person is throwing a blanket on the bed and then jumps on it to eat a sandwich and smiles really big.,bed;blanket;book;food;pillow;sandwich;towel,"Person throws a blanket on the bed, then lies down on the bed and starts eating a sandwich. Person is smiling.",c074 0.00 5.60;c065 9.20 13.80;c033 38.00 29.92;c061 7.90 29.92;c156 5.50 29.92;c134 8.10 29.92;c151 0.00 8.90;c036 0.00 7.60;c078 4.90 29.92;c115 22.50 29.00;c116 17.80 29.92;c073 23.80 29.92;c154 16.70 29.92;c072 27.80 29.92;c071 0.00 11.20;c029 21.80 29.92;c070 0.00 3.70;c074 6.00 14.50;c065 3.40 13.60;c067 4.20 14.20;c152 4.60 15.70;c033 5.30 16.00;c062 5.90 29.92;c069 6.20 14.50;c063 5.70 14.70;c034 0.00 6.30;c078 5.10 9.90,37.42,Yes,W0Y4E
2RATZEGO,0KZ7,Entryway (A hall that is generally located at the entrance of a house),6,7,Yes,"person is wrapped with a blanket, take a broom and start sweeping the floor with a broom, then put the broom on the florr and take a phone from a shelf and leave while is snuggling with the blanket and the phone.",broom;doorway;floor;phone,"A person swept the floor with a broom, picked  up there phone and laid the broom on the ground",c098 3.30 31.62;c100 2.20 8.20;c019 31.60 31.62;c097 31.40 31.62;c102 1.10 25.70;c018 21.70 29.70;c015 23.30 31.62;c097 31.60 31.62;c099 26.50 31.62;c097 32.70 31.62;c099 10.10 31.62;c127 16.40 31.62;c097 8.80 31.62,36.67,Yes,
RL0Z5EGO,PCAA,Laundry room,4,7,Yes,"A person is sitting on the washing machine, snuggling a pillow. They jump down, open the washer, and throw a towel into it from across the room.",blanket;clothes;pillow;towel,A man is hugging a towel and then throws it onto the back of a couch. The man picks up another towel and throws it into the washing machine.,c033 0.00 14.80;c036 8.80 15.60;c005 18.70 22.46;c035 18.50 22.46;c034 10.30 16.00;c003 0.50 16.70;c154 0.30 10.90;c002 0.50 12.00;c073 0.00 10.80;c078 0.00 15.60;c076 0.00 15.60;c035 7.70 22.46,25.12,Yes,1T2W4
PYVZGEGO,P2J3,Kitchen,4,6,Yes,"One person is laughing on the phone, while another is holding sacks of groceries.",bag;groceries;phone,person is holding a bag of groceries and watching another person is talking on the phone,c020 25.60 31.46;c019 0.00 5.60;c015 2.00 31.46;c152 13.50 25.80,37.75,Yes,WK6XX
RJU4XEGO,U259,Bedroom,5,7,Yes,"A person covered in a blanket awakens and sits up in bed.  They get up with the blanket, walk over to the wardrobe and place it on a shelf.",bed;blanket;closet;sheet;shelf;sofa/couch,A person gets up from bed takes the sheet and puts it in the closet.,c133 7.10 13.10;c071 14.60 26.30;c072 0.00 11.70;c081 19.20 25.70;c113 19.10 24.20;c112 22.30 26.54;c134 0.00 13.00;c154 13.80 20.10;c082 0.00 7.90;c070 0.30 8.50;c075 0.00 8.10;c122 1.00 11.10;c146 2.90 11.30;c123 4.30 12.20;c073 6.80 13.90;c135 9.30 17.40;c113 3.20 20.00;c112 17.40 26.54;c134 18.30 26.54;c154 1.60 26.54,25.83,Yes,NVGDG
2WE41EGO,XXN8,Basement (A room below the ground floor),7,7,Yes,A person is in the basement. A person is tidying up a desk. A person begins snuggling a glass that was on the desk. A person puts the glass back on the desk. A person looks under the desk.,desk;glass;shelf;table,A person tidy's up a desk then grabs a class and hugs it then looks around the desk.,c082 1.80 25.62;c110 11.90 23.60;c012 15.00 21.50;c109 12.70 23.60;c012 8.20 22.30;c107 10.20 17.80,32.96,Yes,
PN0JEEGO,ECGS,Bedroom,6,7,Yes,A person is playing a game on their cellphone as they sit on their bed. before they stand up while holding the phone and place it on a table. The person then walks across the room and grabs a vacuum and starts vacuuming the floor.,bed;floor;phone;table;vacuum,"A person wearing a gray t-shirt, black hoodie and jeans is sitting crossed-leg on the foot of a bed while looking a cell phone. The person gets off of the bed and then picks up a vacuum cleaner and begins to vaccum.",c137 9.20 30.79;c154 5.60 11.40;c127 15.40 30.79;c138 14.90 20.70;c017 4.10 10.80;c015 0.00 9.30;c016 0.00 6.50;c135 0.00 4.20;c009 4.30 11.90;c151 2.00 14.90,29.92,Yes,
N9V02EGO,0KZ7,Bedroom,6,6,Yes,"A person is smiling at their reflection in the mirror in their bedroom. The person stands up from the chair in front of the mirror and crosses to leave the room, shutting the door as they exit the room.",chair;door;mirror;table,"The person is sitting at makeup mirror for a few minutes. She stands up, turns, leaves the room behind and shutting the door.",c152 0.00 15.30;c141 16.80 21.92;c094 0.00 15.20;c151 0.20 21.92;c008 2.60 11.30;c097 4.60 13.00;c096 2.90 12.20;c097 13.70 21.92;c154 7.10 12.10;c096 8.00 12.20;c059 0.00 11.00;c011 0.00 11.40,28.04,Yes,
02BWAEGO,ICRY,Living room,6,7,Yes,A person is seen putting coffee on a table. They then start eating some food while reading a book.,book;coffee;food;sandwich;shelf;sofa;table,A person sits on couch holding a cup of coffee they sit on a table then eat a sandwich and read a boo.,c061 9.40 29.75;c026 5.20 29.75;c032 10.60 29.75;c065 9.20 29.75;c010 0.00 29.75;c156 8.80 29.75;c009 0.10 5.90;c027 4.80 13.20;c067 9.80 29.75;c123 0.00 29.75;c063 8.60 18.80;c081 0.00 7.80,38.62,Yes,LKQQO
AWRE4EGO,PCAA,Living room,6,7,Yes,"a person sits laughing on the sofa, then opens a book.",bed;book;couch,"A person walked in sat on a couch,picked up a book opened the book look through it put the book down got up and walked away.",c154 5.90 28.25;c151 0.30 28.25;c027 9.10 16.40;c135 1.10 14.00;c029 10.20 21.30;c152 10.20 17.10;c030 5.70 14.50;c025 20.40 28.25;c026 9.00 28.25;c149 9.30 17.80;c032 10.20 28.00;c154 24.00 28.25;c123 0.00 28.25;c154 0.00 4.90;c123 0.00 5.30;c151 0.00 3.00,27.12,Yes,FGBXJ
5H71PEGO,7879,Laundry room,4,7,Yes,"A person sits in a chair in the laundry room, watching their clothes in the dryer. The person is eating food.",bag;chair;clothes;food;washing machines,The person is sitting in a chair and opens a bag of chips and eats one.,c059 0.00 7.29;c061 0.00 7.29;c156 5.80 7.29;c005 0.00 6.30,14.62,Yes,5B8M5
B5N19EGO,XXN8,Dining room,6,7,Yes,A person is in a dining room undressing and cooking food at the same time.  They find a box that has food in it and they take that box with them and throw the food somewhere across the room.,box;clothes;floor;food;foreign object;skillet;sweater,"The person shows us a skillet then takes off a sweater. The person then opens a box and throws an object out of frame, smiles, and walks to turn off the recording.",c064 2.80 9.30;c154 0.90 5.60;c000 10.80 16.20;c062 5.80 14.10;c041 16.00 22.00;c126 20.20 26.00;c061 1.70 7.00;c040 15.50 25.40;c152 24.50 26.00;c147 1.00 14.20;c044 16.00 25.70;c152 4.60 14.30;c147 7.00 16.20;c155 5.30 14.60;c063 1.40 13.50;c044 2.60 12.60;c043 15.10 23.30;c000 11.60 26.00,26.46,Yes,
13OSCEGO,OUKK,Kitchen,7,7,Yes,A person is opening a box of medicine.  They are holding their laptop as they are reading some directions on how to take the medicine.  Then they take the box of medicine and put the laptop on the counter.,box;drinking;food;laptop;medicine;phone/camera,GLASS,c156 25.90 26.54;c047 0.00 26.54;c042 21.50 26.54;c129 24.20 26.54;c061 4.50 9.20;c040 4.50 9.20;c015 6.90 26.54;c061 16.40 26.54;c040 24.00 26.54;c051 13.00 26.54,42.25,Yes,
VTFF3EGO,XH2Y,Kitchen,7,7,Yes,"A person is tidying the counter with a towel, then smiling as they cook food and take medicine in a kitchen.",cloth;food;medicine;pot;spoon,The person is wiping to clean the stove. Person takes top of pot and stirs in pot. The person then takes some sort of powder something in the mouth.,c129 2.60 12.90;c147 17.60 32.90;c128 1.50 12.00,36.96,Yes,CVTII
G924HEGO,DN1S,Kitchen,6,6,Yes,"A person starts washing a table, they stop, walk over to a stove and begin cooking.",food;stove;table;towel,"person is washing the table with a towel, then start cooking at the stove",c147 13.90 26.71;c013 0.00 14.90;c012 0.00 14.60;c038 0.00 7.70,29.38,Yes,8ZF5S
1H88BEGO,P2J3,Entryway (A hall that is generally located at the entrance of a house),6,7,Yes,"A person runs into the entryway. The person opens the window, takes a broom, and begins shooing away some animals outside.",broom;door;window,MIRROR,c150 0.00 11.20;c102 13.10 30.88;c100 8.00 17.90;c092 12.30 23.40;c008 0.00 19.80;c154 0.00 30.88;c006 0.00 28.10;c098 14.70 30.88;c141 0.00 30.88,32.38,Yes,WESPT
TN0B8EGO,PCAA,Kitchen,3,6,Yes,A person is using a broom. After they are finished they leave it in the sink and begin taking some food to bring into another room.,broom;counter;dish;doorway;floor;food;plate;table,"A person walks into the kitchen, grabs a broom that's leaning against the fridge, and starts sweeping. Once they are done sweeping, they put the broom on the counter, picks up a plate of food from the table, and walks out of the kitchen.",c097 19.60 24.30;c062 19.90 28.12;c118 18.00 28.12;c099 13.40 19.20;c098 0.00 18.20;c100 0.00 3.30;c127 0.00 16.70;c063 17.40 23.90;c102 0.00 18.60,26.46,Yes,2JKR8
QF77PEGO,5LWB,Kitchen,6,6,Yes,A person is standing in a kitchen washing dishes.  Another person sits at a table in the kitchen watching a television. The first person opens the refrigerator.,cup/glass/bottle;dish;hands;refrigerator;stool;table;television;water,A person washing dishes while another person sits on a stool and the other person opens the refrigerator.,c139 2.90 13.90;c009 7.30 11.70;c121 0.00 10.80;c118 0.00 10.50;c119 9.20 15.30;c010 12.90 28.70;c143 20.50 28.70;c111 0.00 15.30;c132 13.30 23.60,26.62,Yes,MY9UC
VG5GHEGO,DZVP,Bedroom,6,6,Yes,"A person in their bedroom is lying on a pillow. They stand up, walk towards their wardrobe and start  taking some clothes out of the wardrobe.",bed;closet/cabinet;clothes;comforter;door;pillow;the clothing,"A person is lying in bed under the covers.  The person removes the covers, stands up, walks over to a closet door, opens the closet door, takes out two pieces of clothing, closes the closet door and stands there.",c000 12.20 23.30;c002 12.40 19.50;c146 0.90 7.50;c113 7.20 13.80;c154 1.50 7.70;c008 7.30 14.10;c080 1.40 8.10;c006 13.80 21.40;c076 0.00 5.90;c078 0.00 5.90;c134 0.00 8.00,21.29,Yes,VDXXV
FA49IEGO,XXN8,Hallway,6,4,Yes,A person is in a garage. A person is standing in front of a cabinet. A person opens the door of the cabinet and looks at a mirror. A person starts sneezing.  A person closes the door of the cabinet.,cabinet;door;mirror;shelf,A person opens a cabinet door and takes a mirror then looks into it while suddenly sneezing then returns the mirror and closes the closet door.,c081 17.10 22.90;c006 20.70 28.50;c096 2.20 22.90;c153 16.10 27.30;c112 19.20 30.04;c008 0.00 7.90;c081 19.10 26.20;c141 0.00 7.20;c093 7.80 25.20;c006 24.00 30.04;c113 0.00 8.50,32.62,Yes,
VF0HDEGO,OUKK,Dining room,6,7,Yes,A person is undressing in front of a mirror and then opening a sandwich in a bag and then leaving the dining room.,bag;clothes;food;mirror;sandwich;shirt;table,A person standing in front of a mirror takes one of there shirts off then grabs plate of food of the table,c069 21.80 29.83;c096 0.10 18.80;c155 1.50 19.20;c063 22.90 29.83;c021 25.10 29.83;c001 23.50 29.83;c009 31.10 29.83;c068 12.90 18.40,38.62,Yes,M6LFI
2Y7JHEGO,2CJ3,Dining room,5,6,Yes,"One person is at a chair at the table smiling and enjoying a cup of coffee, while another is tidying up the area.",chair;cup;dish;food;table,"two people are on a table, one is sitting on a chair and drinking from a cup and the other is tidying the table",c012 0.00 31.08;c011 0.00 31.08;c156 13.90 20.60;c120 24.00 30.30;c152 3.70 11.40;c106 0.00 6.10;c106 8.30 17.90;c107 0.00 2.80;c014 0.00 31.08;c059 0.00 6.10;c119 19.80 25.70;c156 4.80 27.90,31.75,Yes,6HR54
A1M00EGO,71HI,Dining room,6,6,Yes,"A person is sitting at the table drinking from a glass. They get up, run in a circle around the table, then start turning the light on and off.",chair;glass;light;table,A person sits in a dining room drinking from a glass and is wearing a hat with a light on it. A person stands up and walks around the room and turns the light off and on again.,c059 0.00 11.60;c011 0.00 11.60;c009 3.60 11.30;c150 12.10 26.79;c105 18.30 26.79;c154 4.50 14.40;c104 23.30 26.79;c106 0.00 8.70,30.96,Yes,9OEWM
PYQSNEGO,2CJ3,Bathroom,4,6,Yes,A person is smiling and laughing at the bathroom mirror.  The person is using a camera to take a selfie by taking a picture of the mirror.  The person is making sure that the light is perfect for the photo.,camera;door;light;mirror,The person is partially video recording themself and making different motions in front of a mirror.,c015 0.00 30.25;c087 0.90 6.00;c094 0.00 3.20;c152 14.80 30.25;c016 14.10 30.25;c096 13.10 30.25;c141 5.00 25.30;c008 4.60 19.10;c149 1.50 16.20;c104 17.40 30.25;c152 0.80 11.30;c016 1.70 9.80;c096 1.80 14.10,30.58,Yes,CUZND
YNXOHEGO,ICRY,Bedroom,7,7,Yes,"The person was getting ready to leave, and paused to look at the picture of a television by the door.  As the person was closing the door, the person started sneezing.",door;hair;television,person is fixing the hair and getting ready to leaves watching television then sneezes and close the door,c132 6.80 23.10;c006 25.90 31.92;c097 25.90 31.92;c144 0.00 4.50;c153 21.10 31.92;c141 24.00 31.92,30.71,Yes,129SP
HJ9DCEGO,BYF9,Stairs,5,6,Yes,Person is walking down the stairs holding a book and begins to sneeze. Person stops mid-stairs to sneeze a few times before continuing down the stairs. Person then picks up the broom by the doorway at the bottom of the stairs and stands there holding it.,book;broom;doorway;walking,STEPS,c098 17.50 27.10;c026 0.00 27.10;c100 16.80 23.90;c153 13.30 20.20;c097 0.00 23.70;c115 0.80 16.80,25.00,Yes,VL66E
SZ24TEGO,XXN8,Bedroom,6,7,Yes,A person is watching a television while sitting on the bed smiling.  They stand up and grab a broom off a chair and start to sweep. Then place the broom on the floor and sneeze.,bed;broom;couch;floor;mop;window,The person walks over to a couch and says a few words while pointing to another room and then picks up a mop and cleans the floor before leaving.,c127 10.00 20.70;c102 10.30 20.60;c123 0.20 10.10;c149 0.90 8.00;c151 0.00 3.00;c098 7.80 12.70;c135 0.00 8.20;c100 10.60 19.50;c092 12.50 17.00;c152 14.60 20.60;c154 14.00 20.80;c100 7.00 14.00;c092 1.40 9.20;c152 0.80 7.70;c154 4.10 10.10,23.92,Yes,
CDUPCEGO,7879,Living room,5,6,No,A person is grasping their shoes as the person pulls them off. Then the person walks to the television and begins sitting down on the floor in front of it.,chair;clothes;doorway;floor;shoe;table;television,A person is sitting at a desk in one room and takes off the shoes. The person stands up and walks through a doorway into another room.  The person walks over to the couch and sits down on the floor in front of it with the back leaning against the couch and faces the TV.,c132 9.20 13.79;c154 3.60 8.40;c151 10.20 13.79;c155 0.00 8.30;c059 0.00 8.40;c057 2.40 10.70;c097 1.20 10.00;c125 1.80 8.50;c057 0.00 6.40;c097 4.60 12.80;c125 9.30 13.79;c011 0.00 7.50,17.62,Yes,1MZJF
ZCQLVEGO,XH2Y,Bedroom,7,2,Yes,A person was seen leaving the basement after tidying up the blanket and mirror located inside.,bed;blanket;doorknob;doorway;floor;mirrow,"A person in a room reaches for the bed to clean a mirror, a person cleans a mirror and closes it, a person tidying up the blanket on the bed.",c075 0.90 15.00;c073 1.90 14.80;c097 3.10 19.40;c070 5.50 14.40;c127 3.10 19.96;c071 21.00 19.96;c154 21.00 19.96;c141 21.00 19.96;c125 21.00 19.96,22.96,Yes,JIOD0
G92E0EGO,ECGS,Bathroom,7,7,Yes,A person finishes washing their face. They go to exit the bathroom but notice the doorknob is squeaking. They pull out some oil from under the sink and try to fix it.,closet/cabinet;door;faucet;hands;sink;towel;water,"Person  stood by sink,turned on faucet  washed face and hands turned off the faucet dryed face with towel,touched doorknob get something from under the skin put it on the doorknob.",c007 29.10 35.58;c154 26.80 32.60;c139 0.00 13.90;c112 27.70 33.10;c140 18.10 35.58;c141 17.90 25.70,36.17,Yes,DV6OZ
VY5XTEGO,DN1S,Dining room,6,6,Yes,"A person grasps a box off the dining room chair, and puts it on the table.  They begin sweeping with the broom and start sneezing from the dust.",box;broom;chair;floor;table,"Person picked up box from a chair put it on a table, got a broom swept the floor and sneezed a few times.",c009 4.30 9.30;c043 0.60 5.50;c042 4.10 9.00;c153 23.30 28.20;c098 8.30 31.08;c045 1.70 9.50;c040 0.00 6.00;c154 0.00 21.10;c127 7.80 31.08;c102 8.80 29.60;c098 8.30 13.00,34.92,Yes,GANC6
OB8Z1EGO,ECGS,Bedroom,7,7,Yes,A person is laughing while sitting on a bed. They pick up a coffee and take a drink. After putting the drink down they reach over and grab a mirror from a table and hold it up into the air.,bed;cup;mirror;sleeve;socks;table,"The person is hanging out on their bed, while taking a drink from a cup and playing with a  mirror.",c149 0.00 10.90;c093 17.40 30.71;c009 14.80 21.10;c107 8.70 21.10;c135 0.00 30.71;c152 0.00 9.90;c106 9.60 17.30;c109 13.60 20.90,30.50,Yes,
HGCQ6EGO,LYQC,Bathroom,7,7,Yes,A person drinks coffee in the bathroom. The person then puts shoes into a bag and puts them on a shelf.,bag;cup;shelf;shoe;sink,"A person looks at a sinl, them picks up a glass and drink out of it, then gets a bag and picks up shoes and puts the shoes in the bag.",c021 14.20 21.60;c109 12.30 18.90;c110 0.00 6.20;c053 18.10 32.42;c106 2.20 14.00;c056 18.00 24.00;c107 0.00 17.40;c022 29.00 32.42;c023 14.30 20.50;c154 3.10 13.40;c054 18.90 31.00;c106 1.10 8.00;c020 14.20 32.30;c081 29.60 32.42,36.25,Yes,DAS12
5AH2GEGO,UN1T,Kitchen,6,6,Yes,A person is cooking on a stove. Then they pick up a box and start playing with it.,box;container;floor;food;groceries;pan;stove,A person is standing at the stove cooking some food then picks up an empty container off the floor and plays with it.,c130 0.00 18.20;c064 0.00 24.80;c042 20.80 27.67;c063 2.60 27.67;c045 17.90 27.67;c127 18.20 26.20;c043 20.80 26.90;c040 21.70 26.50;c127 9.60 17.30;c147 11.20 17.40;c043 9.90 17.00;c061 12.10 17.60;c040 12.10 18.50;c147 0.00 19.90;c043 16.20 22.20;c061 6.70 15.80;c040 16.80 27.67,30.54,Yes,W8WRK
6AI0LEGO,ROBJ,Hallway,6,7,Yes,A person is looking at a mirror near the doorway. The person smiles and takes a picture of themself.,door;mirror;phone/camera;tablet,"Person holds tablets, makes strange faces and takes selfies by an open door.",c096 0.00 12.30;c152 0.90 14.10;c015 0.00 30.58;c087 14.40 30.58;c016 14.50 30.58;c008 0.00 30.58,30.25,Yes,3FMAS
8P6Z7EGO,2CJ3,Pantry,5,6,Yes,A person is running their hands over the shelves of a pantry. The person is grasping a box they pull out of the pantry. The person takes a picture of the box with a camera.,box;food;phone/camera,"The person is looking at food in the cupboard, the person takes food out of the cupboard",c063 17.50 22.00;c087 23.40 28.60;c040 18.50 32.50;c015 0.00 32.50;c016 0.00 32.50;c018 1.00 32.50;c063 6.40 21.00;c043 17.10 23.30;c087 2.50 10.90;c040 11.00 19.50,32.96,Yes,ZEC1D
E5I5VEGO,3L0S,Bedroom,7,7,Yes,A person is sitting on a blanket holding a laptop.  The person opens the laptop and begins playing a game on it.  The person gets up and puts the laptop on the table.,bed;floor;laptop;small blanket;table;tv,"Person is sitting on bed on top of a small blanket, holding a closed small laptop. Person opens the laptop and works/plays on the laptop, pressing keys. Person then closes the laptop and stands with it. Persons walks over to a table and places laptop on top of TV. Person walks away.",c009 28.60 29.04;c151 0.00 29.04;c049 27.40 29.04;c135 0.00 29.04;c154 23.50 29.04;c050 0.60 26.00;c051 0.00 29.04;c125 0.00 29.04;c048 0.00 4.20;c047 0.00 29.04;c009 27.40 29.04;c046 20.70 27.30,37.21,Yes,3C9L1
ROLPQEGO,ROBJ,Bedroom,6,7,Yes,A person is seen eating some medicine. They start fixing their hair and adjusting the pillow on their bed.,bed;bottle;floor;food;hair;medicine;pillow,"Person is sitting on the floor, holding a bottle. Person opens the bottle and eats/drinks medicine from the bottle. Person closes the bottle and picks up pillows, tidying the pillows.",c129 8.60 13.70;c156 0.00 20.50;c076 23.50 32.30;c077 23.30 32.10;c135 0.00 32.30;c144 17.20 23.80;c128 0.00 19.90,30.25,Yes,ESAIY
YK8A1EGO,XH2Y,Pantry,7,7,Yes,"A person is eating a sandwich in the pantry, and takes a bag of chips from the cabinet. The person wipes their hands with a paper towel.",bag;drawer;food;hands;sandwich;towel,A person is standing up eating a sandwich. They then put the sandwich down and pulls a drawer open. The person then takes out something from the drawer and closes the drawer. Then they puck up a towel and wipes their hands.,c067 2.40 12.10;c024 12.90 17.90;c021 3.40 7.80;c069 0.00 7.70;c061 0.00 12.00;c063 5.70 12.00;c062 4.30 11.40;c068 10.00 15.20,16.21,Yes,XECIL
3EK7XEGO,2Q9D,Pantry,6,6,Yes,"A person is fixing the door to their pantry. As the person sits in the doorway, they reach for a piece of nearby food and eat it.",door;food;pantry;screwdriver,Person repaired door in pantry using a screwdriver then reaches around to get a snack to eat,c007 0.00 19.90;c062 20.80 29.08;c063 18.40 24.40;c156 20.20 29.08,30.62,Yes,SNK5Z
J49OMEGO,PCAA,Laundry room,7,7,Yes,"One person throws down a towel, then pours something into the sink.",cup/glass/bottle;dish;sink;table;towel,The person throwed the towel to the floor and took a cup of water and dispensed the water in the sink,c107 11.10 24.80;c036 7.50 12.60;c110 10.80 16.10;c118 10.00 27.33;c035 5.00 15.80;c111 13.20 22.20;c009 5.70 27.33;c033 3.00 11.70;c034 3.60 10.60;c107 6.10 14.20;c036 3.60 12.00;c110 4.80 14.20,25.54,Yes,NBAGZ
