,Action_end_bvh_frame,Action_end_rgb_frame,Action_end_rgb_sec,Action_label,Action_start_bvh_frame,Action_start_rgb_frame,Action_start_rgb_sec,Duration_sec,File,Meta_action_class_number,Meta_action_label,Operation,Recurrence,Subject
1559,53593,13495,450.28,[OP070] Put down component,53560,13486,450.0,0.28,P05_R03,11,Put down component,OP070,R03,P05
1560,54174,13641,455.16,[OP070] Consult sheets,53964,13588,453.4,1.76,P05_R03,2,Consult sheets,OP070,R03,P05
1561,54507,13725,457.96,[OP070] Catch Bolt B835,54321,13678,456.4,1.56,P05_R03,7,Picking left,OP070,R03,P05
1562,54545,13735,458.28,[OP070] Put down component,54507,13725,457.96,0.32,P05_R03,11,Put down component,OP070,R03,P05
1563,54816,13803,460.56,[OP070] Catch P360-1,54559,13738,458.4,2.16,P05_R03,13,Take subsystem,OP070,R03,P05
1564,54978,13844,461.92,[OP070] Catch component,54854,13813,460.88,1.04,P05_R03,10,Take component,OP070,R03,P05
1565,55421,13955,465.64,[OP070] Place DI2T on P360-2,54993,13847,462.04,3.6,P05_R03,12,Assemble system,OP070,R03,P05
1566,55683,14021,467.84,[OP070] Catch component,55426,13956,465.68,2.16,P05_R03,10,Take component,OP070,R03,P05
1567,56259,14166,472.68,[OP070] Place ECR8 on DI2T,55683,14021,467.84,4.84,P05_R03,12,Assemble system,OP070,R03,P05
1568,56459,14217,474.36,[OP070] Catch component,56259,14166,472.68,1.68,P05_R03,10,Take component,OP070,R03,P05
1569,57530,14486,483.36,[OP070] Take screwdriver,57340,14438,481.76,1.6,P05_R03,4,Take screwdriver,OP070,R03,P05
1570,58373,14698,490.44,[OP070] Screw P360-2 with B835,57530,14486,483.36,7.08,P05_R03,12,Assemble system,OP070,R03,P05
1571,58668,14773,492.92,[OP070] Put down screwdriver,58373,14698,490.44,2.48,P05_R03,5,Put down screwdriver,OP070,R03,P05
1572,59858,15073,502.92,[OP070] Put down Lower Part,59096,14881,496.52,6.4,P05_R03,14,Put down subsystem,OP070,R03,P05
1573,804,203,6.76,[OP010] Consult sheets,709,179,5.96,0.8,P05_R04,2,Consult sheets,OP010,R04,P05
1574,1057,266,8.88,[OP010] Catch Fixation FIXA1,804,203,6.76,2.12,P05_R04,6,Picking in front,OP010,R04,P05
1575,1290,325,10.84,[OP010] Catch Fixture key LARD,1057,266,8.88,1.96,P05_R04,7,Picking left,OP010,R04,P05
1576,1490,375,12.52,[OP010] Catch Bolt B820,1290,325,10.84,1.68,P05_R04,7,Picking left,OP010,R04,P05
1577,1571,396,13.2,[OP010] Put down component,1490,375,12.52,0.68,P05_R04,11,Put down component,OP010,R04,P05
1578,1751,441,14.72,[OP010] Catch component,1651,416,13.88,0.84,P05_R04,10,Take component,OP010,R04,P05
1579,2846,717,23.92,[OP010] Place LARD on Profile P360-1,2156,543,18.12,5.8,P05_R04,12,Assemble system,OP010,R04,P05
1580,3084,777,25.92,[OP010] Catch component,2960,746,24.88,1.04,P05_R04,10,Take component,OP010,R04,P05
1581,3522,887,29.6,[OP010] Place FIXA1 on LARD at 160mm,3317,836,27.88,1.72,P05_R04,12,Assemble system,OP010,R04,P05
1582,3955,996,33.24,[OP010] Take measuring rod,3779,952,31.76,1.48,P05_R04,8,Take measuring rod,OP010,R04,P05
1583,4493,1132,37.76,[OP010] Place FIXA1 on LARD at 160mm,3955,996,33.24,4.52,P05_R04,12,Assemble system,OP010,R04,P05
1584,4821,1214,40.52,[OP010] Take screwdriver,4502,1134,37.84,2.68,P05_R04,4,Take screwdriver,OP010,R04,P05
1585,5616,1415,47.2,[OP010] Screw FIXA1 with B820,4907,1236,41.24,5.96,P05_R04,12,Assemble system,OP010,R04,P05
1586,5806,1463,48.8,[OP010] Put down screwdriver,5649,1423,47.48,1.32,P05_R04,5,Put down screwdriver,OP010,R04,P05
1587,6025,1518,50.64,[OP010] Put down measuring rod,5806,1463,48.8,1.84,P05_R04,9,Put down measuring rod,OP010,R04,P05
1588,6596,1662,55.44,[OP020] Turn sheets,6358,1602,53.44,2.0,P05_R04,3,Turn sheets,OP020,R04,P05
1589,6811,1715,57.24,[OP020] Catch Fixation FIXA1,6601,1663,55.48,1.76,P05_R04,6,Picking in front,OP020,R04,P05
1590,7077,1783,59.48,[OP020] Catch Fixture key LARD,6815,1717,57.28,2.2,P05_R04,7,Picking left,OP020,R04,P05
1591,7463,1880,62.72,[OP020] Catch Bolt B820,7077,1783,59.48,3.24,P05_R04,7,Picking left,OP020,R04,P05
1592,7567,1906,63.6,[OP020] Put down component,7463,1880,62.72,0.88,P05_R04,11,Put down component,OP020,R04,P05
1593,7996,2014,67.2,[OP020] Place LARD on P360-1,7696,1938,64.68,2.52,P05_R04,12,Assemble system,OP020,R04,P05
1594,8267,2082,69.48,[OP020] Catch component,8005,2016,67.28,2.2,P05_R04,10,Take component,OP020,R04,P05
1595,9304,2344,78.2,[OP020] Place FIXA1 on LARD at 160mm,8305,2092,69.8,8.4,P05_R04,12,Assemble system,OP020,R04,P05
1596,9585,2414,80.56,[OP020] Take measuring rod,9357,2357,78.64,1.92,P05_R04,8,Take measuring rod,OP020,R04,P05
1597,10056,2533,84.52,[OP020] Place FIXA1 on LARD at 160mm,9585,2414,80.56,3.96,P05_R04,12,Assemble system,OP020,R04,P05
1598,10285,2591,86.44,[OP020] Put down measuring rod,10099,2544,84.88,1.56,P05_R04,9,Put down measuring rod,OP020,R04,P05
1599,10470,2637,88.0,[OP020] Take screwdriver,10294,2593,86.52,1.48,P05_R04,4,Take screwdriver,OP020,R04,P05
1600,11099,2796,93.28,[OP020] Screw FIXA1 with B820,10475,2639,88.04,5.24,P05_R04,12,Assemble system,OP020,R04,P05
1601,11360,2862,95.48,[OP020] Put down screwdriver,11122,2802,93.48,2.0,P05_R04,5,Put down screwdriver,OP020,R04,P05
1602,11798,2972,99.16,[OP030] Consult sheets,11755,2961,98.8,0.36,P05_R04,2,Consult sheets,OP030,R04,P05
1603,12008,3025,100.92,[OP030] Catch Pillow block bearing PAL4019 (x2),11817,2977,99.32,1.6,P05_R04,6,Picking in front,OP030,R04,P05
1604,12231,3081,102.8,[OP030] Catch Pillow block bearing PAL4019 (x2),12008,3025,100.92,1.88,P05_R04,6,Picking in front,OP030,R04,P05
1605,12303,3099,103.4,[OP030] Put down component,12231,3081,102.8,0.6,P05_R04,11,Put down component,OP030,R04,P05
1606,12550,3161,105.48,[OP030] Catch Fixation FIXT (x2),12303,3099,103.4,2.08,P05_R04,6,Picking in front,OP030,R04,P05
1607,12574,3167,105.68,[OP030] Put down component,12550,3161,105.48,0.2,P05_R04,11,Put down component,OP030,R04,P05
1608,12812,3227,107.68,[OP030] Catch Fixation FIXT (x2),12574,3167,105.68,2.0,P05_R04,6,Picking in front,OP030,R04,P05
1609,12841,3234,107.92,[OP030] Put down component,12812,3227,107.68,0.24,P05_R04,11,Put down component,OP030,R04,P05
1610,13140,3310,110.44,[OP030] Catch Cover CAPO (x2),12841,3234,107.92,2.52,P05_R04,6,Picking in front,OP030,R04,P05
1611,13193,3323,110.88,[OP030] Put down component,13140,3310,110.44,0.44,P05_R04,11,Put down component,OP030,R04,P05
1612,14016,3530,117.8,[OP030] Catch Bolt B840 (x2),13550,3413,113.88,3.92,P05_R04,7,Picking left,OP030,R04,P05
1613,14064,3542,118.2,[OP030] Put down component,14016,3530,117.8,0.4,P05_R04,11,Put down component,OP030,R04,P05
1614,14459,3642,121.52,[OP030] Catch Fixture key LARD (x2),14073,3545,118.28,3.24,P05_R04,7,Picking left,OP030,R04,P05
1615,14916,3757,125.36,[OP030] Place LARD on P360-1 (x2),14549,3665,122.28,3.08,P05_R04,12,Assemble system,OP030,R04,P05
1616,15434,3888,129.72,[OP030] Place LARD on P360-1 (x2),15096,3803,126.88,2.84,P05_R04,12,Assemble system,OP030,R04,P05
1617,15682,3950,131.8,[OP030] Catch component,15510,3907,130.36,1.44,P05_R04,10,Take component,OP030,R04,P05
1618,16029,4038,134.72,[OP030] Catch component,15877,3999,133.44,1.28,P05_R04,10,Take component,OP030,R04,P05
1619,16934,4265,142.32,[OP030] Place PAL4019 on FIXT (x2),16296,4105,136.96,5.36,P05_R04,12,Assemble system,OP030,R04,P05
1620,17152,4320,144.16,[OP030] Take screwdriver,16943,4268,142.4,1.76,P05_R04,4,Take screwdriver,OP030,R04,P05
1621,18528,4667,155.72,[OP030] Screw PAL4019 with B820 (x2),17152,4320,144.16,11.56,P05_R04,12,Assemble system,OP030,R04,P05
1622,18804,4736,158.04,[OP030] Put down screwdriver,18537,4669,155.8,2.24,P05_R04,5,Put down screwdriver,OP030,R04,P05
1623,18999,4786,159.68,[OP030] Catch component,18904,4762,158.88,0.8,P05_R04,10,Take component,OP030,R04,P05
1624,19304,4862,162.24,[OP030] Catch component,19032,4794,159.96,2.28,P05_R04,10,Take component,OP030,R04,P05
1625,19523,4917,164.08,[OP030] Catch component,19394,4885,163.0,1.08,P05_R04,10,Take component,OP030,R04,P05
1626,20636,5198,173.44,[OP030] Place PAL4019 on FIXT (x2),20179,5083,169.6,3.84,P05_R04,12,Assemble system,OP030,R04,P05
1627,20898,5264,175.64,[OP030] Take screwdriver,20651,5202,173.56,2.08,P05_R04,4,Take screwdriver,OP030,R04,P05
1628,21555,5429,181.16,[OP030] Screw PAL4019 with B820 (x2),20898,5264,175.64,5.52,P05_R04,12,Assemble system,OP030,R04,P05
1629,21750,5479,182.8,[OP030] Put down screwdriver,21555,5429,181.16,1.64,P05_R04,5,Put down screwdriver,OP030,R04,P05
1630,22045,5553,185.28,[OP030] Catch component,21874,5510,183.84,1.44,P05_R04,10,Take component,OP030,R04,P05
1631,22354,5631,187.88,[OP030] Catch component,22097,5566,185.72,2.16,P05_R04,10,Take component,OP030,R04,P05
1632,22983,5789,193.16,[OP030] Place CAPO on P360-1(x2),22369,5634,188.0,5.16,P05_R04,12,Assemble system,OP030,R04,P05
1633,23696,5969,199.16,[OP030] Place CAPO on P360-1(x2),23168,5836,194.72,4.44,P05_R04,12,Assemble system,OP030,R04,P05
1634,24644,6207,207.12,[OP030] Put down Profile P360-1,24229,6103,203.64,3.48,P05_R04,14,Put down subsystem,OP030,R04,P05
1635,25600,6448,215.16,[OP040] Turn sheets,25248,6360,212.2,2.96,P05_R04,3,Turn sheets,OP040,R04,P05
1636,25814,6502,216.96,[OP040] Catch Fixation FIXA2,25629,6456,215.4,1.56,P05_R04,6,Picking in front,OP040,R04,P05
1637,26024,6555,218.72,[OP040] Catch Bolt B820,25824,6505,217.04,1.68,P05_R04,7,Picking left,OP040,R04,P05
1638,27028,6808,227.16,[OP040] Place FIXA2 on P360-2,26519,6680,222.88,4.28,P05_R04,12,Assemble system,OP040,R04,P05
1639,27266,6868,229.16,[OP040] Take screwdriver,27099,6826,227.76,1.4,P05_R04,4,Take screwdriver,OP040,R04,P05
1640,27808,7005,233.72,[OP040] Screw FIXA2 with B820,27266,6868,229.16,4.56,P05_R04,12,Assemble system,OP040,R04,P05
1641,27961,7043,235.0,[OP040] Put down screwdriver,27808,7005,233.72,1.28,P05_R04,5,Put down screwdriver,OP040,R04,P05
1642,28170,7096,236.76,[OP040] Consult sheets,28104,7079,236.2,0.56,P05_R04,2,Consult sheets,OP040,R04,P05
1643,28656,7218,240.84,[OP040] Catch Fixation FIXL,28432,7162,238.96,1.88,P05_R04,6,Picking in front,OP040,R04,P05
1644,29032,7313,244.0,[OP040] Catch Strap clamps BRIT (x2),28708,7231,241.28,2.72,P05_R04,7,Picking left,OP040,R04,P05
1645,29079,7325,244.4,[OP040] Put down component,29032,7313,244.0,0.4,P05_R04,11,Put down component,OP040,R04,P05
1646,29389,7403,247.0,[OP040] Catch Bolt B820PT,29089,7327,244.48,2.52,P05_R04,7,Picking left,OP040,R04,P05
1647,29412,7409,247.2,[OP040] Put down component,29389,7403,247.0,0.2,P05_R04,11,Put down component,OP040,R04,P05
1648,29527,7437,248.16,[OP040] Catch component,29441,7416,247.44,0.72,P05_R04,10,Take component,OP040,R04,P05
1649,29855,7520,250.92,[OP040] Place BRIT1 and BRIT2 on FIXL,29527,7437,248.16,2.76,P05_R04,12,Assemble system,OP040,R04,P05
1650,29960,7546,251.8,[OP040] Catch component,29855,7520,250.92,0.88,P05_R04,10,Take component,OP040,R04,P05
1651,30174,7600,253.6,[OP040] Place BRIT1 and BRIT2 on FIXL,29960,7546,251.8,1.8,P05_R04,12,Assemble system,OP040,R04,P05
1652,30336,7641,254.96,[OP040] Catch component,30174,7600,253.6,1.36,P05_R04,10,Take component,OP040,R04,P05
1653,31359,7899,263.56,[OP040] Place FIXL on P360-2,30440,7668,255.84,7.72,P05_R04,12,Assemble system,OP040,R04,P05
1654,31573,7953,265.36,[OP040] Take screwdriver,31378,7904,263.72,1.64,P05_R04,4,Take screwdriver,OP040,R04,P05
1655,32482,8182,273.0,[OP040] Screw FIXL with B820PT,31573,7953,265.36,7.64,P05_R04,12,Assemble system,OP040,R04,P05
1656,32682,8232,274.68,[OP040] Put down screwdriver,32482,8182,273.0,1.68,P05_R04,5,Put down screwdriver,OP040,R04,P05
1657,33643,8474,282.76,[OP050] Turn sheets,33358,8402,280.36,2.4,P05_R04,3,Turn sheets,OP050,R04,P05
1658,33881,8534,284.76,[OP050] Catch Profile P040,33691,8486,283.16,1.6,P05_R04,6,Picking in front,OP050,R04,P05
1659,33910,8541,285.0,[OP050] Put down component,33881,8534,284.76,0.24,P05_R04,11,Put down component,OP050,R04,P05
1660,34105,8591,286.64,[OP050] Catch Strap clamps BRIT (x2),33910,8541,285.0,1.64,P05_R04,7,Picking left,OP050,R04,P05
1661,34352,8653,288.72,[OP050] Catch Strap clamps BRIT (x2),34105,8591,286.64,2.08,P05_R04,7,Picking left,OP050,R04,P05
1662,34467,8682,289.68,[OP050] Put down component,34376,8659,288.92,0.76,P05_R04,11,Put down component,OP050,R04,P05
1663,34752,8754,292.08,[OP050] Catch Bolt B820PT,34491,8688,289.88,2.2,P05_R04,7,Picking left,OP050,R04,P05
1664,34819,8770,292.64,[OP050] Put down component,34752,8754,292.08,0.56,P05_R04,11,Put down component,OP050,R04,P05
1665,34852,8779,292.92,[OP050] Catch component,34819,8770,292.64,0.28,P05_R04,10,Take component,OP050,R04,P05
1666,35143,8852,295.36,[OP050] Place BRIT1 and BRIT2 on P040,34905,8792,293.36,2.0,P05_R04,12,Assemble system,OP050,R04,P05
1667,35466,8933,298.08,[OP050] Catch component,35166,8858,295.56,2.52,P05_R04,10,Take component,OP050,R04,P05
1668,35671,8985,299.8,[OP050] Place BRIT1 and BRIT2 on P040,35495,8941,298.32,1.48,P05_R04,12,Assemble system,OP050,R04,P05
1669,36013,9071,302.68,[OP050] Catch component,35709,8995,300.12,2.56,P05_R04,10,Take component,OP050,R04,P05
1670,36494,9192,306.72,[OP050] Place P040 on P360-2,36090,9091,303.32,3.4,P05_R04,12,Assemble system,OP050,R04,P05
1671,36689,9242,308.36,[OP050] Take screwdriver,36499,9194,306.76,1.6,P05_R04,4,Take screwdriver,OP050,R04,P05
1672,37517,9450,315.32,[OP050] Screw P040 with B820PT,36689,9242,308.36,6.96,P05_R04,12,Assemble system,OP050,R04,P05
1673,37741,9506,317.2,[OP050] Put down screwdriver,37541,9456,315.52,1.68,P05_R04,5,Put down screwdriver,OP050,R04,P05
1674,38008,9574,319.44,[OP060] Consult sheets,37860,9536,318.2,1.24,P05_R04,2,Consult sheets,OP060,R04,P05
1675,38417,9677,322.88,[OP060] Consult sheets,38298,9647,321.88,1.0,P05_R04,2,Consult sheets,OP060,R04,P05
1676,38588,9720,324.32,[OP060] Catch Fixation FIXA1,38422,9678,322.92,1.4,P05_R04,6,Picking in front,OP060,R04,P05
1677,38607,9725,324.48,[OP060] Put down component,38588,9720,324.32,0.16,P05_R04,11,Put down component,OP060,R04,P05
1678,38840,9783,326.44,[OP060] Catch Fixture key LARD,38612,9726,324.52,1.92,P05_R04,7,Picking left,OP060,R04,P05
1679,39107,9851,328.68,[OP060] Catch Bolt B820 (x2),38840,9783,326.44,2.24,P05_R04,7,Picking left,OP060,R04,P05
1680,39188,9871,329.36,[OP060] Put down component,39107,9851,328.68,0.68,P05_R04,11,Put down component,OP060,R04,P05
1681,39597,9974,332.8,[OP060] Place LARD on P040 (P360-2),39207,9876,329.52,3.28,P05_R04,12,Assemble system,OP060,R04,P05
1682,39802,10026,334.52,[OP060] Consult sheets,39688,9997,333.56,0.96,P05_R04,2,Consult sheets,OP060,R04,P05
1683,40521,10207,340.56,[OP060] Place FIXA1 on P360-2,39949,10063,335.76,4.8,P05_R04,12,Assemble system,OP060,R04,P05
1684,40773,10270,342.68,[OP060] Take screwdriver,40549,10214,340.8,1.88,P05_R04,4,Take screwdriver,OP060,R04,P05
1685,41225,10384,346.48,[OP060] Screw FIXA1 with B820,40773,10270,342.68,3.8,P05_R04,12,Assemble system,OP060,R04,P05
1686,41506,10455,348.84,[OP060] Put down screwdriver,41244,10389,346.64,2.2,P05_R04,5,Put down screwdriver,OP060,R04,P05
1687,42067,10596,353.56,[OP060] Turn sheets,41777,10523,351.12,2.44,P05_R04,3,Turn sheets,OP060,R04,P05
1688,42334,10663,355.8,[OP060] Catch Fixation FIXA2,42120,10609,354.0,1.8,P05_R04,6,Picking in front,OP060,R04,P05
1689,42524,10711,357.4,[OP060] Catch Bolt B820 (x2),42339,10665,355.84,1.56,P05_R04,7,Picking left,OP060,R04,P05
1690,43091,10854,362.16,[OP060] Place FIXA2 on P360-2,42600,10730,358.04,4.12,P05_R04,12,Assemble system,OP060,R04,P05
1691,43309,10909,364.0,[OP060] Take screwdriver,43105,10858,362.28,1.72,P05_R04,4,Take screwdriver,OP060,R04,P05
1692,44052,11096,370.24,[OP060] Screw FIXA2 with B820,43309,10909,364.0,6.24,P05_R04,12,Assemble system,OP060,R04,P05
1693,44323,11164,372.52,[OP060] Put down screwdriver,44066,11100,370.36,2.16,P05_R04,5,Put down screwdriver,OP060,R04,P05
1694,44842,11295,376.88,[OP070] Catch P360-1,44566,11226,374.56,2.32,P05_R04,13,Take subsystem,OP070,R04,P05
1695,44994,11333,378.16,[OP070] Catch Disk DI2T,44842,11295,376.88,1.28,P05_R04,6,Picking in front,OP070,R04,P05
1696,45132,11368,379.32,[OP070] Place DI2T on P360-2,44994,11333,378.16,1.16,P05_R04,12,Assemble system,OP070,R04,P05
1697,45418,11440,381.72,[OP070] Catch Nut ECR8,45151,11373,379.48,2.24,P05_R04,7,Picking left,OP070,R04,P05
1698,45903,11562,385.8,[OP070] Place ECR8 on DI2T,45465,11452,382.12,3.68,P05_R04,12,Assemble system,OP070,R04,P05
1699,46227,11644,388.52,[OP070] Catch Bolt B835,45937,11571,386.08,2.44,P05_R04,7,Picking left,OP070,R04,P05
1700,47488,11962,399.12,[OP070] Take screwdriver,47279,11909,397.36,1.76,P05_R04,4,Take screwdriver,OP070,R04,P05
1701,47916,12070,402.72,[OP070] Screw P360-2 with B835,47488,11962,399.12,3.6,P05_R04,12,Assemble system,OP070,R04,P05
1702,48150,12128,404.68,[OP070] Put down screwdriver,47916,12070,402.72,1.96,P05_R04,5,Put down screwdriver,OP070,R04,P05
1703,49044,12354,412.2,[OP070] Put down Lower Part,48597,12241,408.44,3.76,P05_R04,14,Put down subsystem,OP070,R04,P05
1704,3586,903,30.12,[OP010] Catch Fixture key LARD,3386,852,28.44,1.68,P06_R01,7,Picking left,OP010,R01,P06
1705,3624,912,30.44,[OP010] Put down component,3586,903,30.12,0.32,P06_R01,11,Put down component,OP010,R01,P06
1706,3886,978,32.64,[OP010] Catch Fixation FIXA1,3643,917,30.6,2.04,P06_R01,6,Picking in front,OP010,R01,P06
1707,3943,993,33.12,[OP010] Put down component,3886,978,32.64,0.48,P06_R01,11,Put down component,OP010,R01,P06
1708,4162,1048,34.96,[OP010] Catch Bolt B820,3953,995,33.2,1.76,P06_R01,7,Picking left,OP010,R01,P06
1709,4215,1061,35.4,[OP010] Put down component,4162,1048,34.96,0.44,P06_R01,11,Put down component,OP010,R01,P06
1710,4624,1164,38.84,[OP010] Take measuring rod,4219,1062,35.44,3.4,P06_R01,8,Take measuring rod,OP010,R01,P06
1711,5339,1344,44.84,[OP010] Catch component,5096,1283,42.8,2.04,P06_R01,10,Take component,OP010,R01,P06
1712,5572,1403,46.8,[OP010] Put down measuring rod,5439,1369,45.68,1.12,P06_R01,9,Put down measuring rod,OP010,R01,P06
1713,6158,1550,51.72,[OP010] Place LARD on Profile P360-1,5705,1436,47.92,3.8,P06_R01,12,Assemble system,OP010,R01,P06
1714,6348,1598,53.32,[OP010] Take measuring rod,6167,1552,51.8,1.52,P06_R01,8,Take measuring rod,OP010,R01,P06
1715,8658,2179,72.72,[OP010] Put down measuring rod,8401,2115,70.56,2.16,P06_R01,9,Put down measuring rod,OP010,R01,P06
1716,8872,2233,74.52,[OP010] Catch component,8682,2185,72.92,1.6,P06_R01,10,Take component,OP010,R01,P06
1717,9463,2382,79.48,[OP010] Place FIXA1 on LARD at 160mm,8963,2256,75.28,4.2,P06_R01,12,Assemble system,OP010,R01,P06
1718,9611,2419,80.72,[OP010] Catch component,9472,2384,79.56,1.16,P06_R01,10,Take component,OP010,R01,P06
1719,10363,2609,87.04,[OP010] Take screwdriver,9939,2502,83.48,3.56,P06_R01,4,Take screwdriver,OP010,R01,P06
1720,11515,2899,96.72,[OP010] Screw FIXA1 with B820,10396,2617,87.32,9.4,P06_R01,12,Assemble system,OP010,R01,P06
1721,11811,2973,99.2,[OP010] Put down screwdriver,11525,2901,96.8,2.4,P06_R01,5,Put down screwdriver,OP010,R01,P06
1722,13378,3367,112.36,[OP020] Turn sheets,12958,3262,108.84,3.52,P06_R01,3,Turn sheets,OP020,R01,P06
1723,13692,3447,115.0,[OP020] Catch Fixture key LARD,13449,3385,112.96,2.04,P06_R01,7,Picking left,OP020,R01,P06
1724,13759,3463,115.56,[OP020] Put down component,13692,3447,115.0,0.56,P06_R01,11,Put down component,OP020,R01,P06
1725,14282,3595,119.96,[OP020] Catch Fixation FIXA1,13835,3483,116.2,3.76,P06_R01,6,Picking in front,OP020,R01,P06
1726,14330,3607,120.36,[OP020] Put down component,14282,3595,119.96,0.4,P06_R01,11,Put down component,OP020,R01,P06
1727,14644,3686,123.0,[OP020] Catch Bolt B820,14335,3608,120.4,2.6,P06_R01,7,Picking left,OP020,R01,P06
1728,14706,3702,123.52,[OP020] Put down component,14644,3686,123.0,0.52,P06_R01,11,Put down component,OP020,R01,P06
1729,14811,3728,124.4,[OP020] Catch component,14725,3707,123.68,0.72,P06_R01,10,Take component,OP020,R01,P06
1730,15149,3813,127.24,[OP020] Take measuring rod,14911,3753,125.24,2.0,P06_R01,8,Take measuring rod,OP020,R01,P06
1731,15973,4021,134.16,[OP020] Place LARD on P360-1,15754,3966,132.32001,1.84,P06_R01,12,Assemble system,OP020,R01,P06
1732,16140,4063,135.56,[OP020] Put down measuring rod,15992,4026,134.32001,1.24,P06_R01,9,Put down measuring rod,OP020,R01,P06
1733,16449,4141,138.16,[OP020] Place LARD on P360-1,16173,4071,135.84,2.32,P06_R01,12,Assemble system,OP020,R01,P06
1734,16630,4186,139.67999,[OP020] Take measuring rod,16464,4144,138.28,1.4,P06_R01,8,Take measuring rod,OP020,R01,P06
1735,17435,4389,146.44,[OP020] Place LARD on P360-1,16630,4186,139.67999,6.76,P06_R01,12,Assemble system,OP020,R01,P06
1736,17759,4470,149.16,[OP020] Put down measuring rod,17435,4389,146.44,2.72,P06_R01,9,Put down measuring rod,OP020,R01,P06
1737,17988,4528,151.08,[OP020] Catch component,17807,4482,149.56,1.52,P06_R01,10,Take component,OP020,R01,P06
1738,18407,4633,154.60001,[OP020] Place FIXA1 on LARD at 160mm,18049,4543,151.60001,3.0,P06_R01,12,Assemble system,OP020,R01,P06
1739,18588,4679,156.12,[OP020] Catch component,18430,4639,154.8,1.32,P06_R01,10,Take component,OP020,R01,P06
1740,19269,4850,161.84,[OP020] Take screwdriver,18864,4748,158.44,3.4,P06_R01,4,Take screwdriver,OP020,R01,P06
1741,19912,5012,167.24001,[OP020] Screw FIXA1 with B820,19288,4855,162.0,5.24,P06_R01,12,Assemble system,OP020,R01,P06
1742,20212,5088,169.75999,[OP020] Put down screwdriver,19926,5016,167.36,2.4,P06_R01,5,Put down screwdriver,OP020,R01,P06
1743,22340,5624,187.64,[OP030] Catch Fixture key LARD (x2),21988,5535,184.67999,2.96,P06_R01,6,Picking in front,OP030,R01,P06
1744,22421,5644,188.32001,[OP030] Put down component,22340,5624,187.64,0.68,P06_R01,11,Put down component,OP030,R01,P06
1745,22750,5727,191.08,[OP030] Catch Fixation FIXT (x2),22455,5652,188.60001,2.48,P06_R01,6,Picking in front,OP030,R01,P06
1746,22864,5755,192.03999,[OP030] Put down component,22759,5729,191.16,0.88,P06_R01,11,Put down component,OP030,R01,P06
1747,23174,5833,194.64,[OP030] Catch Pillow block bearing PAL4019 (x2),22974,5783,192.96001,1.68,P06_R01,6,Picking in front,OP030,R01,P06
1748,23493,5914,197.32001,[OP030] Catch Pillow block bearing PAL4019 (x2),23174,5833,194.64,2.68,P06_R01,6,Picking in front,OP030,R01,P06
1749,23579,5935,198.03999,[OP030] Put down component,23493,5914,197.32001,0.72,P06_R01,11,Put down component,OP030,R01,P06
1750,24188,6089,203.16,[OP030] Catch Bolt B840 (x2),23669,5958,198.8,4.36,P06_R01,7,Picking left,OP030,R01,P06
1751,24474,6161,205.56,[OP030] Put down component,24355,6131,204.56,1.0,P06_R01,11,Put down component,OP030,R01,P06
1752,24636,6201,206.92,[OP030] Catch component,24474,6161,205.56,1.36,P06_R01,10,Take component,OP030,R01,P06
1753,24845,6254,208.67999,[OP030] Catch component,24645,6204,207.0,1.68,P06_R01,10,Take component,OP030,R01,P06
1754,25607,6446,215.08,[OP030] Place LARD on P360-1 (x2),24845,6254,208.67999,6.4,P06_R01,12,Assemble system,OP030,R01,P06
1755,25969,6537,218.12,[OP030] Place LARD on P360-1 (x2),25693,6468,215.8,2.32,P06_R01,12,Assemble system,OP030,R01,P06
1756,26384,6641,221.60001,[OP030] Catch component,26203,6596,220.08,1.52,P06_R01,10,Take component,OP030,R01,P06
1757,28165,7090,236.56,[OP030] Place FIXT on LARD (x2),26412,6649,221.84,14.72,P06_R01,12,Assemble system,OP030,R01,P06
1758,28355,7138,238.16,[OP030] Catch component,28193,7097,236.8,1.36,P06_R01,10,Take component,OP030,R01,P06
1759,29474,7419,247.56,[OP030] Place FIXT on LARD (x2),28379,7144,238.36,9.2,P06_R01,12,Assemble system,OP030,R01,P06
1760,29946,7538,251.52,[OP030] Place FIXT on LARD (x2),29689,7473,249.36,2.16,P06_R01,12,Assemble system,OP030,R01,P06
1761,30379,7647,255.16,[OP030] Place PAL4019 on FIXT (x2),30017,7556,252.12,3.04,P06_R01,12,Assemble system,OP030,R01,P06
1762,30589,7700,256.92001,[OP030] Catch component,30413,7656,255.44,1.48,P06_R01,10,Take component,OP030,R01,P06
1763,31275,7873,262.67999,[OP030] Place PAL4019 on FIXT (x2),30622,7708,257.20001,5.48,P06_R01,12,Assemble system,OP030,R01,P06
1764,31518,7934,264.72,[OP030] Catch component,31341,7889,263.23999,1.48,P06_R01,10,Take component,OP030,R01,P06
1765,33889,8531,284.64001,[OP030] Place PAL4019 on FIXT (x2),31594,7953,265.35999,19.28,P06_R01,12,Assemble system,OP030,R01,P06
1766,34232,8617,287.51999,[OP030] Take screwdriver,33951,8546,285.16,2.36,P06_R01,4,Take screwdriver,OP030,R01,P06
1767,35837,9021,301.0,[OP030] Screw PAL4019 with B820 (x2),34413,8663,289.04001,11.96,P06_R01,12,Assemble system,OP030,R01,P06
